UMPD Case Number,Address
2024-00027598,"Denton, Denton Hall at 3854 Stadium Dr"
2024-00027752,"Drazek Circle, UMGC at 346 Ehrensberger Dr"
2024-00027848,7700 block of Adelphi Rd
2024-00027889,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
2024-00028084,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2024-00028224,Princeton Ave
2024-00028357,"36, Plant Sciences Building at 4291 Fieldhouse Dr"
2024-00028409,University Blvd
2024-00028410,7300 block of Baltimore Ave
2024-00028421,8100 block of Baltimore Ave
2024-00028634,"14, Harford Hall at 7660 Regents Dr"
2024-00028724,"96, Cambridge, Cambridge Hall at 4230 Farm Dr"
2024-00028726,Knox Rd
2024-00028727,College Ave
2024-00028770,6900 block of Preinkert Dr
2024-00028803,Campus Dr
2024-00028804,Yahentamitsi at 4136 Stadium Dr
2024-00029034,8200 block of Baltimore Ave
2024-00029293,8000 block of Hagerstown Dr
2024-00029357,"46, Marie Mount, Marie Mount Hall at 7814 Regents Dr"
2024-00029737,"77, Main Admin, Main Administration Building, Thomas V. Miller Jr. Administration Building at 7901 Regents Dr"
2024-00030085,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2024-00030478,"30, Talbot, Talbot Hall at 7569 Calvert Service Ln"
2024-00030517,7900 block of Regents Dr
2024-00030621,Yahentamitsi at 4136 Stadium Dr
2024-00030651,3216 Hollins Ferry Rd
2024-00030972,909 at 8204 Baltimore Ave
2024-00031044,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2024-00031291,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr"
2024-00031748,Yahentamitsi at 4136 Stadium Dr
2024-00031754,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2024-00031793,4300 block of Knox Rd
2024-00031885,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2024-00032105,Rhode Island Ave
2024-00032407,8100 block of Paint Branch Dr
2024-00032469,4100 block of Stadium Dr
2024-00032800,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
2024-00032824,South Gate at 7567 Regents Dr
2024-00032827,7300 block of Baltimore Ave
2024-00032835,4300 block of Knox Rd
2024-00033011,4200 block of Valley Dr
2024-00033066,"88, Martin Hall at 4298 Campus Dr"
2024-00033067,3900 block of Denton Service Ln
2024-00033088,"78, Armory, Reckord Armory at 4490 Rossborough Ln"
2024-00033104,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
2024-00033217,Lot 2a
2024-00033348,7300 block of Baltimore Ave
2024-00033592,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2024-00033925,"78, Armory, Reckord Armory at 4490 Rossborough Ln"
2024-00034101,Dartmouth Ave
2024-00034229,Lot 9b
2024-00034818,4200 block of Valley Dr
2024-00034968,4000 block of Stadium Dr
2024-00035017,"School of Public Policy, Thurgood Marshall Hall at 7805 Regents Dr"
2024-00035018,7800 block of Regents Dr
2024-00035036,"Leonardtown #249, Leonardtown at 7563 Yale Ave"
2024-00035042,"48, Francis Scott Key, Francis Scott Key Hall, FS Key Hall, FSK at 4282 Chapel Ln"
2024-00035041,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2024-00035163,"42, Tydings Hall at 7343 Preinkert Dr"
2024-00035223,7500 block of Yale Ave
2024-00035228,"98, Centreville, Centreville Hall at 4243 Valley Dr"
2024-00035349,Paint Branch Dr
2024-00035467,"MFRI, MFRI Office/Classroom Building at 4500 Campus Dr"
2024-00035591,"16, Baltimore, Baltimore Hall at 7497 Calvert Service Ln"
2024-00035621,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
2024-00035660,McKeldin Mall
2024-00035665,Baltimore Ave
2024-00035773,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
2024-00036158,"Litton, Police Services & Training Facility at 7147 51st Ave"
2024-00036159,"Litton, Police Services & Training Facility at 7147 51st Ave"
2024-00036165,"Commons 4, SCC 4, South Campus Commons 4 at 4310 Knox Rd"
2024-00036199,"73, H.J. Patterson Hall, HJ Patterson Hall at 4065 Campus Dr"
2024-00036251,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2024-00036257,8100 block of Regents Dr
2024-00036305,7500 block of Regents Dr
2024-00036343,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00036361,"Cornerstone, Cornerstone Grill at 7325 Baltimore Ave"
2024-00036487,Knox Rd
2024-00036771,8100 block of La Plata Dr
2024-00036784,8500 block of Boteler Ln
2024-00036795,"251 North, Denton Area Dining Hall at 3951 Denton Service Ln"
2024-00036805,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00036807,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2024-00036812,"35, McKeldin Library at 7649 Library Ln"
2024-00036855,4243 38.9925686035142;-76.9414474316283
2024-00037174,Pot Bellys at 7422 Baltimore Ave
2024-00037306,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2024-00037308,"23, Washington, Washington Hall at 4298 Lehigh Rd"
2024-00037325,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00037347,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
2024-00037351,"24, Allegany, Allegany Hall at 4299 Lehigh Rd"
2024-00037448,"65, Carroll, Carroll Hall at 7284 Preinkert Dr"
2024-00037738,"Leonardtown #245, Leonardtown at 4689 Rossborough Ln"
2024-00037844,8100 block of Boteler Ln
2024-00037870,8000 block of Hagerstown Dr
2024-00038267,"Leonardtown #245, Leonardtown at 4689 Rossborough Ln"
2024-00038497,"Football Team House, Gossett, Gossett Hall at 4068 Fieldhouse Dr"
2024-00038520,8200 block of Alumni Dr
2024-00038852,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2024-00039290,"25, Charles, Charles Hall at 4405 Lehigh Rd"
2024-00039289,4100 block of Campus Dr
2024-00039295,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
2024-00039299,Health Center at 3983 Campus Dr
2024-00039309,Lot Y
2024-00039316,Health Center at 3983 Campus Dr
2024-00039321,8400 block of Baltimore Ave
2024-00039322,7500 block of Baltimore Ave
2024-00039351,"14, Harford Hall at 7660 Regents Dr"
2024-00039363,4700 block of Berwyn House Rd
2024-00039548,Visitor Center at the Hotel at the University of Maryland at 7777 Baltimore Ave
2024-00043386,Graduate Hills Apartment #291 at 3413 Tulane Dr
2024-00039686,Graduate Hills Apartment #291 at 3413 Tulane Dr
2024-00039704,"73, H.J. Patterson Hall, HJ Patterson Hall at 4065 Campus Dr"
2024-00039726,"63, Somerset, Somerset Hall at 7567 Preinkert Dr"
2024-00039744,University Blvd
2024-00039750,Manokin Building at 5801 University Research Ct
2024-00039766,4200 block of Knox Rd
2024-00039821,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00039882,3900 block of Denton Service Ln
2024-00040278,Baltimore Ave
2024-00040371,7200 block of Preinkert Dr
2024-00040461,"14, Harford Hall at 7660 Regents Dr"
2024-00040470,Hagerstown Hall at 8075 Hagerstown Dr
2024-00040479,"School of Public Policy, Thurgood Marshall Hall at 7805 Regents Dr"
2024-00040547,4500 block of College Ave
2024-00040645,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2024-00040790,"98, Centreville, Centreville Hall at 4243 Valley Dr"
2024-00040810,"Pyon Chen, Pyon-Chen Hall at 8097 La Plata Dr"
2024-00040819,Yahentamitsi at 4136 Stadium Dr
2024-00040837,"Pyon Chen, Pyon-Chen Hall at 8097 La Plata Dr"
2024-00040984,"E. A. Fernandez Idea Factory, Idea Factory at 4462 Stadium Dr"
2024-00041101,"35, McKeldin Library at 7649 Library Ln"
2024-00041397,"14, Harford Hall at 7660 Regents Dr"
2024-00041671,8000 block of Hagerstown Dr
2024-00041735,Baltimore Ave
2024-00041749,Baltimore Ave
2024-00041767,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2024-00041931,"4, Ritchie Coliseum at 7675 Baltimore Ave"
2024-00042277,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
2024-00042530,8700 block of 37th Ave
2024-00042543,4600 block of College Ave
2024-00042734,"Drazek Circle, UMGC at 346 Ehrensberger Dr"
2024-00042751,La Plata Hall at 8160 La Plata Dr
2024-00043006,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00043396,274 at 4320 Rowalt Dr
2024-00043435,"Alpha Delta Pi, Alpha Delta Pi Sorority at 4535 College Ave"
2024-00043504,278 at 4324 Rowalt Dr
2024-00043561,"35, McKeldin Library at 7649 Library Ln"
2024-00043670,"69, Wicomico, Wicomico Hall at 7218 Preinkert Dr"
2024-00043750,7300 block of Hopkins Ave
2024-00044305,"Nyumburu, Nyumburu Cultural Center at 4018 Campus Dr"
2024-00044310,"61, Queen Anne, Queen Anne's Hall at 7645 Preinkert Dr"
2024-00044325,"Hornbake, Hornbake Library at 4130 Campus Dr"
2024-00044328,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2024-00044330,Health Center at 3983 Campus Dr
2024-00044375,3900 block of Denton Service Ln
2024-00044433,7600 block of Library Ln
2024-00044864,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2024-00044878,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2024-00044949,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2024-00045029,8200 block of Boteler Ln
2024-00045058,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2024-00045069,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2024-00045067,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00045070,"iONQ, Paint Branch Building at 4505 Campus Dr"
2024-00045071,"Denton, Denton Hall at 3854 Stadium Dr"
2024-00045072,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr"
2024-00045074,"Denton, Denton Hall at 3854 Stadium Dr"
2024-00045105,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
2024-00045106,"88, Martin Hall at 4298 Campus Dr"
2024-00045107,4200 block of Lehigh Rd
2024-00045150,"Chestertown, Chestertown Hall at 4201 Valley Dr"
2024-00045108,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2024-00045145,Cumberland Hall at 4250 Farm Dr
2024-00045191,4500 block of College Ave
2024-00045477,4300 block of Stadium Dr
2024-00045478,8100 block of Paint Branch Dr
2024-00045548,4100 block of Campus Dr
2024-00045560,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
2024-00046106,Berwyn Rd
2024-00046107,Graduate Hills Apartment #287 at 3410 Tulane Dr
2024-00046109,4100 block of Campus Dr
2024-00046345,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2024-00046375,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
2024-00046619,4800 block of College Ave
2024-00046620,7300 block of Baltimore Ave
2024-00046621,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00046881,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170 Union Ln"
2024-00046888,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2024-00046896,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2024-00046917,4600 block of Norwich Rd
2024-00046933,4300 block of Hartwick Rd
2024-00046936,"Bio Psych, Biology-Psychology Building at 4094 Campus Dr"
2024-00046952,UMGC Hotel at 348 Ehrensberger Dr
2024-00046955,"79, Turner Hall, Visitor Center at 7736 Baltimore Ave"
2024-00046998,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2024-00047053,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr"
2024-00047156,Paint Branch Dr
2024-00047161,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2024-00047175,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
2024-00047543,Paint Branch Dr
2024-00047726,Health Center at 3983 Campus Dr
2024-00047835,Hartwick Rd
2024-00047887,University Blvd
2024-00047914,"Pyon Chen, Pyon-Chen Hall at 8097 La Plata Dr"
2024-00047993,3900 block of Denton Service Ln
2024-00048160,Johnson-Whittle Hall at 4118 Stadium Dr
2024-00048185,Health Center at 3983 Campus Dr
2024-00048282,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2024-00048283,University Courtyard #4 at 8400 Boteler Ln
2024-00048299,Allegany Alley
2024-00048319,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2024-00048320,Farm Dr
2024-00048333,Campus Dr
2024-00048344,Johnson-Whittle Hall at 4118 Stadium Dr
2024-00048381,4200 block of Campus Dr
2024-00048585,9000 block of Baltimore Ave
2024-00048597,"Drazek Circle, UMGC at 346 Ehrensberger Dr"
2024-00048649,"PG3, SDG, Stadium Drive Parking Garage at 4025 Stadium Dr"
2024-00048674,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr"
2024-00048719,"Tawes, Tawes Hall at 7751 Alumni Dr"
2024-00049482,"Microbiology, Microbiology Building at 4062 Campus Dr"
2024-00049584,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2024-00049827,"Hornbake, Hornbake Library at 4130 Campus Dr"
2024-00050537,4200 block of Valley Dr
2024-00050550,4300 block of Hartwick Rd
2024-00050578,7300 block of Baltimore Ave
2024-00050672,Baltimore Ave
2024-00050817,4200 block of Stadium Dr
2024-00050848,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
2024-00051014,"Cole, Cole Field House, Cole Student Activities Building, Driskell Center at 4090 Union Dr"
2024-00051053,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2024-00051121,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
2024-00051186,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2024-00051623,"4, Ritchie Coliseum at 7675 Baltimore Ave"
2024-00051626,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr"
2024-00051636,4600 block of Beechwood Rd
2024-00051643,"College Park Fire Station, Company 12 at 8115 Baltimore Ave"
2024-00051969,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2024-00052104,Metzerott Rd
2024-00052580,4700 block of Melbourne Pl
2024-00052662,Adelphi Rd
2024-00052998,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2024-00053077,"Dunkin Donuts, Landmark Apartments at 4500 College Ave"
2024-00053097,"4, Ritchie Coliseum at 7675 Baltimore Ave"
2024-00053178,7500 block of Baltimore Ave
2024-00053756,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2024-00054427,7200 block of Baltimore Ave
2024-00055413,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2024-00055488,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2024-00055663,University Blvd
2024-00055991,3400 block of Tulane Dr
2024-00056430,"College Park Shopping Center, CVS at 7300 Baltimore Ave"
2024-00056527,University Blvd
2024-00056540,Baltimore Ave
2024-00056568,8400 block of Baltimore Ave
2024-00056751,8200 block of Alumni Dr
2024-00056912,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00057506,"51, Worcester, Worcester Hall at 7405 Preinkert Dr"
2024-00057515,Yahentamitsi at 4136 Stadium Dr
2024-00057566,"Alpha Sigma Phi, Frat 9 at 9 Fraternity Row"
2024-00057612,Yahentamitsi at 4136 Stadium Dr
2024-00058141,Yahentamitsi at 4136 Stadium Dr
2024-00058209,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2024-00058244,3900 block of Campus Dr
2024-00058341,"Nyumburu, Nyumburu Cultural Center at 4018 Campus Dr"
2024-00058429,3900 block of Denton Service Ln
2024-00058708,7600 block of Preinkert Dr
2024-00058774,4100 block of Campus Dr
2024-00058803,4200 block of Campus Dr
2024-00058852,"Astronomical Observatory, Observatory at 3255 Metzerott Rd"
2024-00058876,Jull Hall at 4196 Stadium Dr
2024-00058878,4200 block of Valley Dr
2024-00058884,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2024-00058892,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2024-00059078,Lot Q
2024-00059104,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2024-00059131,300 block of Ehrensberger Dr
2024-00059277,Cumberland Hall at 4250 Farm Dr
2024-00059537,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2024-00059645,"22, Kent, Kent Hall at 7565 Calvert Service Ln"
2024-00059684,"36, Plant Sciences Building at 4291 Fieldhouse Dr"
2024-00059700,"35, McKeldin Library at 7649 Library Ln"
2024-00059703,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
2024-00059702,"8, Annapolis, Annapolis Hall at 7626 Regents Dr"
2024-00059705,8600 block of Boteler Ln
2024-00060190,4100 block of Campus Dr
2024-00060239,4100 block of Campus Dr
2024-00060257,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr"
2024-00060295,"82, John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr"
2024-00060297,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00060307,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2024-00060374,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2024-00060393,8100 block of La Plata Dr
2024-00060509,"11, The Hall at 4656 Hotel Dr"
2024-00060544,4800 block of Calvert Rd
2024-00060549,4200 block of Guilford Dr
2024-00060584,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00060783,4300 block of Stadium Dr
2024-00060854,Biomolecular Sciences Building at 8314 Paint Branch Dr
2024-00060916,"Journalism Building, Knight Hall at 7765 Alumni Dr"
2024-00060920,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00060921,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2024-00061003,8100 block of Baltimore Ave
2024-00061025,"Club House, Golf Course Club House at 3800 Golf Course Rd"
2024-00061081,4200 block of Lehigh Rd
2024-00061096,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2024-00061141,4500 block of Knox Rd
2024-00061142,"Frat 8, Gamma Phi Beta at 8 Fraternity Row"
2024-00061160,4600 block of College Ave
2024-00061193,University Blvd
2024-00061199,Technology Dr
2024-00061214,College Ave
2024-00061491,274 at 4320 Rowalt Dr
2024-00061500,"64, Dorchester, Dorchester Hall at 3947 Campus Dr"
2024-00061743,Yahentamitsi at 4136 Stadium Dr
2024-00061814,6900 block of Preinkert Dr
2024-00061820,Baltimore Ave
2024-00061914,"25, Charles, Charles Hall at 4405 Lehigh Rd"
2024-00062078,Animal Science Building at 8127 Regents Dr
2024-00062081,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
2024-00062089,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
2024-00062132,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2024-00062298,4200 block of Farm Dr
2024-00062303,"Dunkin Donuts, Landmark Apartments at 4500 College Ave"
2024-00062306,Calvert Rd
2024-00062398,Adelphi Rd
2024-00062440,7600 block of Baltimore Ave
2024-00062568,"Delta Gamma, Delta Gamma Sorority at 4518 Knox Rd"
2024-00062655,"DOTS Impound Lot, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl"
2024-00062704,"14, Harford Hall at 7660 Regents Dr"
2024-00062705,3900 block of Campus Dr
2024-00062890,Campus Dr
2024-00062958,4500 block of Knox Rd
2024-00063162,7600 block of Mowatt Ln
2024-00063226,La Plata Hall at 8160 La Plata Dr
2024-00063457,University Blvd
2024-00063474,Rhode Island Ave
2024-00063613,3800 block of Stadium Dr
2024-00063823,3900 block of Campus Dr
2024-00063824,Yahentamitsi at 4136 Stadium Dr
2024-00063825,"35, McKeldin Library at 7649 Library Ln"
2024-00064402,"Computer Science Instructional Center, CSIC at 8169 Paint Branch Dr"
2024-00064453,Yahentamitsi at 4136 Stadium Dr
2024-00064531,Health Center at 3983 Campus Dr
2024-00064533,"251 North, Denton Area Dining Hall at 3951 Denton Service Ln"
2024-00064536,North Gate at 4306 Campus Dr
2024-00064884,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
2024-00064957,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2024-00065041,274 at 4320 Rowalt Dr
2024-00065194,4100 block of Library Ln
2024-00065220,Neutral Buoyancy Research Facility at 4436 Technology Dr
2024-00065252,Hagerstown Hall at 8075 Hagerstown Dr
2024-00065253,"Frat 12, Zeta Tau Alpha, Zeta Tau Alpha Sorority at 12 Fraternity Row"
2024-00065259,"84, Kirwan Hall, Mathematics Building, William E. Kirwan Hall at 4176 Campus Dr"
2024-00065262,Yahentamitsi at 4136 Stadium Dr
2024-00065264,"251 North, Denton Area Dining Hall at 3951 Denton Service Ln"
2024-00065413,Lot 11b
2024-00065509,"251 North, Denton Area Dining Hall at 3951 Denton Service Ln"
2024-00065515,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2024-00065612,Hagerstown Hall at 8075 Hagerstown Dr
2024-00065726,Baltimore Ave
2024-00065731,7600 block of Regents Dr
2024-00065873,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2024-00065900,"Commons 5, SCC 5, South Campus Commons 5 at 6903 Preinkert Dr"
2024-00066074,"78, Armory, Reckord Armory at 4490 Rossborough Ln"
2024-00066492,"4, Ritchie Coliseum at 7675 Baltimore Ave"
2024-00066545,"38, Lefrak, Lefrak Hall at 7251 Preinkert Dr"
2024-00066620,Yahentamitsi at 4136 Stadium Dr
2024-00066720,8100 block of Baltimore Ave
2024-00066728,8100 block of Baltimore Ave
2024-00066739,4200 block of Valley Dr
2024-00066868,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00067289,"Litton, Police Services & Training Facility at 7147 51st Ave"
2024-00067342,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00067359,"98, Centreville, Centreville Hall at 4243 Valley Dr"
2024-00067400,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00067409,7800 block of Regents Dr
2024-00067415,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2024-00067449,La Plata Hall at 8160 La Plata Dr
2024-00067500,"22, Kent, Kent Hall at 7565 Calvert Service Ln"
2024-00067548,"48, Francis Scott Key, Francis Scott Key Hall, FS Key Hall, FSK at 4282 Chapel Ln"
2024-00067549,Aquatics Center at 4098 Valley Dr
2024-00067653,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00067654,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2024-00067797,"17, Cecil, Cecil Hall at 7549 Calvert Service Ln"
2024-00067930,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00068076,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr"
2024-00068275,University Blvd
2024-00068276,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2024-00068288,4000 block of Stadium Dr
2024-00068291,Mowatt Ln
2024-00068448,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
2024-00068536,"E. A. Fernandez Idea Factory, Idea Factory at 4462 Stadium Dr"
2024-00068642,"Denton, Denton Hall at 3854 Stadium Dr"
2024-00068713,"98, Centreville, Centreville Hall at 4243 Valley Dr"
2024-00068720,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
2024-00068767,4321 Hartwick Rd
2024-00068769,7500 block of Regents Dr
2024-00068775,Cumberland Hall at 4250 Farm Dr
2024-00068784,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
2024-00068786,"Denton, Denton Hall at 3854 Stadium Dr"
2024-00068788,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2024-00068993,"Leonardtown #245, Leonardtown at 4689 Rossborough Ln"
2024-00069051,6800 block of Preinkert Dr
2024-00069138,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00069213,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2024-00069214,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2024-00069249,"Hornbake, Hornbake Library at 4130 Campus Dr"
2024-00069280,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00069285,"76, Symons Hall at 7998 Regents Dr"
2024-00069289,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00069294,4500 block of Campus Dr
2024-00069313,Yahentamitsi at 4136 Stadium Dr
2024-00069446,4200 block of Knox Rd
2024-00069768,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2024-00069850,Technology Ventures Building at 5000 College Ave
2024-00069875,"Denton, Denton Hall at 3854 Stadium Dr"
2024-00069951,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00069957,4300 block of Calvert Rd
2024-00070043,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00070153,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00070162,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00070214,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2024-00070365,University Blvd
2024-00070528,Artemesia Building at 8400 Baltimore Ave
2024-00070705,McKeldin Mall
2024-00070756,College Ave
2024-00070776,3501 University Blvd
2024-00070775,McKeldin Mall
2024-00070777,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2024-00070783,"76, Symons Hall at 7998 Regents Dr"
2024-00070825,Regents Dr
2024-00070823,"32, Montgomery, Montgomery Hall at 7570 Regents Dr"
2024-00071167,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2024-00071266,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
2024-00071390,8100 block of 48th Ave
2024-00071481,4300 block of Knox Rd
2024-00071649,"15, Calvert, Calvert Hall at 7551 Calvert Service Ln"
2024-00071652,"35, McKeldin Library at 7649 Library Ln"
2024-00071912,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00071937,Yahentamitsi at 4136 Stadium Dr
2024-00071938,"Cole, Cole Field House, Cole Student Activities Building, Driskell Center at 4090 Union Dr"
2024-00071959,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
2024-00072012,4300 block of Rowalt Dr
2024-00072018,8000 block of Hagerstown Dr
2024-00072051,4200 block of Chapel Ln
2024-00072335,South Gate at 7567 Regents Dr
2024-00072444,7400 block of Columbia Ave
2024-00072536,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2024-00072537,7400 block of Columbia Ave
2024-00072552,7600 block of Preinkert Dr
2024-00072554,"Frat 14, Sigma Chi, Sigma Chi Fraternity at 14 Fraternity Row"
2024-00072561,8200 block of Boteler Ln
