UMPD Case Number,Address
2022-00013724,Cumberland Hall at 4250 Farm Dr
2022-00013869,4400 block of Technology Dr
2022-00013875,Lot SS1
2022-00013888,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00013972,Guilford Rd
2022-00013984,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2022-00013994,"63, Somerset, Somerset Hall at 7567 Preinkert Dr"
2022-00014057,"S Campus Surge, Susquehanna, Susquehanna Hall at 4200 Lehigh Rd"
2022-00014149,7200 block of Preinkert Dr
2022-00014155,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
2022-00014177,7600 block of Mowatt Ln
2022-00014391,"4, Ritchie Coliseum at 7675 Baltimore Ave"
2022-00014462,Mowatt Ln
2022-00014465,Mowatt Ln
2022-00014480,4200 block of Valley Dr
2022-00014496,4000 block of Stadium Dr
2022-00014754,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00014764,Cumberland Hall at 4250 Farm Dr
2022-00014783,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2022-00014832,3400 block of Tulane Dr
2022-00014987,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2022-00014989,3900 block of Denton Service Ln
2022-00015230,4200 block of Farm Dr
2022-00015250,"Delta Chi Fraternity, Frat 6 at 6 Fraternity Row"
2022-00015479,"65, Carroll, Carroll Hall at 7284 Preinkert Dr"
2022-00015500,"15, Calvert, Calvert Hall at 7551 Calvert Service Ln"
2022-00015550,6900 block of Preinkert Dr
2022-00015713,4200 block of Farm Dr
2022-00015760,"Denton Area Dining Hall, Denton Dining Hall at 3951 Denton Service Ln"
2022-00015804,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2022-00015803,University Blvd
2022-00015821,Chapel Field
2022-00015939,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2022-00015977,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2022-00016013,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00016007,7500 block of Yale Ave
2022-00016088,Baltimore Ave
2022-00016212,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
2022-00016246,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2022-00016250,"Leonardtown #247, Leonardtown Apartment 4 at 4713 Rossborough Ln"
2022-00016255,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2022-00016280,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr"
2022-00016307,Knox Rd
2022-00016341,Baltimore Ave
2022-00016348,Baltimore Ave
2022-00016357,Baltimore Ave
2022-00016456,Jull Hall at 4196 Stadium Dr
2022-00016491,8000 block of La Plata Dr
2022-00016535,Farm Dr
2022-00016615,"63, Somerset, Somerset Hall at 7567 Preinkert Dr"
2022-00016616,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2022-00016643,University Blvd
2022-00016646,4400 block of Knox Rd
2022-00016650,"Commons 4, SCC 4, South Campus Commons 4 at 4310 Knox Rd"
2022-00016656,Washington Quad
2022-00016668,Pot Bellys at 7422 Baltimore Ave
2022-00016727,University Blvd
2022-00016743,Aquatics Center at 4098 Valley Dr
2022-00016847,7400 block of Preinkert Dr
2022-00016848,"7-11 Guilford, 7-Eleven Guilford at 7201 Baltimore Ave"
2022-00016850,4300 block of Knox Rd
2022-00016883,"51, Worcester, Worcester Hall at 7405 Preinkert Dr"
2022-00017096,"Motor Pool, Severn, Severn Building, Terp Trader, Washington Post Building at 5245 Greenbelt Rd"
2022-00017211,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00017499,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00017616,"78, Armory, Reckord Armory at 4490 Rossborough Ln"
2022-00017674,"64, Dorchester, Dorchester Hall at 3947 Campus Dr"
2022-00017676,4200 block of Lehigh Rd
2022-00017735,4800 block of Berwyn House Rd
2022-00017784,7600 block of Baltimore Ave
2022-00017790,Jull Hall at 4196 Stadium Dr
2022-00017925,"35, McKeldin Library at 7649 Library Ln"
2022-00017984,"81, Wind Tunnel Building at 8167 Paint Branch Dr"
2022-00017999,Mowatt Ln
2022-00018021,Championship Ln
2022-00018078,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00018100,"84, Kirwan Hall, Mathematics, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176 Campus Dr"
2022-00018191,4200 block of Farm Dr
2022-00018197,Baltimore Ave
2022-00018214,"32, Montgomery, Montgomery Hall at 7570 Regents Dr"
2022-00018237,Baltimore Ave
2022-00018246,Baltimore Ave
2022-00018264,Regents Dr
2022-00018268,Fieldhouse Dr
2022-00018285,"Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl"
2022-00018286,College Park Towers (Knox Road) at 4313 Knox Rd
2022-00018361,"35, McKeldin Library at 7649 Library Ln"
2022-00018437,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
2022-00018497,UMGC Inn & Conference Center at 345 Ehrensberger Dr
2022-00018546,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
2022-00018550,University Blvd
2022-00018552,University Blvd
2022-00018613,3900 block of Denton Service Ln
2022-00018780,4500 block of Knox Rd
2022-00018826,University Blvd
2022-00018827,Greenbelt Rd
2022-00018949,Championship Ln
2022-00019081,University Blvd
2022-00019099,University Blvd
2022-00019266,Animal Science Building at 8127 Regents Dr
2022-00019290,University Blvd
2022-00019545,4300 block of Hartwick Rd
2022-00019570,Rossborough Ln
2022-00019573,Knox Rd
2022-00019954,Lot L
2022-00020071,"Avrum Gudelsky Veterinary Center, Vet Med at 8075 Greenmead Dr"
2022-00020139,"Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl"
2022-00020232,University Blvd
